,Date,Open,High,Low,Close,Adj_Close,Volume,pct_dif_1
7502,1958-01-03,40.87,40.87,40.87,40.87,40.87,2440000.0,0.013212625397602134
7503,1958-01-06,40.68,40.68,40.68,40.68,40.68,2500000.0,-0.00467059980334311
7504,1958-01-07,41.0,41.0,41.0,41.0,41.0,2220000.0,0.007804878048780495
7505,1958-01-08,40.99,40.99,40.99,40.99,40.99,2230000.0,-0.00024396194193700927
7506,1958-01-09,40.75,40.75,40.75,40.75,40.75,2180000.0,-0.005889570552147288
7507,1958-01-10,40.37,40.37,40.37,40.37,40.37,2010000.0,-0.009412930393856888
7508,1958-01-13,40.49,40.49,40.49,40.49,40.49,1860000.0,0.0029636947394419497
7509,1958-01-14,40.67,40.67,40.67,40.67,40.67,2010000.0,0.004425866732235055
7510,1958-01-15,40.99,40.99,40.99,40.99,40.99,2080000.0,0.007806782141985857
7511,1958-01-16,41.06,41.06,41.06,41.06,41.06,3950000.0,0.0017048222113979611
7512,1958-01-17,41.1,41.1,41.1,41.1,41.1,2200000.0,0.0009732360097323393
7513,1958-01-20,41.35,41.35,41.35,41.35,41.35,2310000.0,0.006045949214026602
7514,1958-01-21,41.3,41.3,41.3,41.3,41.3,2160000.0,-0.0012106537530267377
7515,1958-01-22,41.2,41.2,41.2,41.2,41.2,2390000.0,-0.0024271844660192794
7516,1958-01-23,41.36,41.36,41.36,41.36,41.36,1910000.0,0.003868471953578254
7517,1958-01-24,41.71,41.71,41.71,41.71,41.71,2830000.0,0.008391273076000993
7518,1958-01-27,41.59,41.59,41.59,41.59,41.59,2320000.0,-0.0028853089685019822
7519,1958-01-28,41.63,41.63,41.63,41.63,41.63,2030000.0,0.0009608455440787688
7520,1958-01-29,41.88,41.88,41.88,41.88,41.88,2220000.0,0.0059694364851957974
7521,1958-01-30,41.68,41.68,41.68,41.68,41.68,2150000.0,-0.004798464491362832
7522,1958-01-31,41.7,41.7,41.7,41.7,41.7,2030000.0,0.0004796163069545114
7523,1958-02-03,42.04,42.04,42.04,42.04,42.04,2490000.0,0.008087535680304384
7524,1958-02-04,42.46,42.46,42.46,42.46,42.46,2970000.0,0.009891662741403713
7525,1958-02-05,42.19,42.19,42.19,42.19,42.19,2480000.0,-0.0063996207632141065
7526,1958-02-06,42.1,42.1,42.1,42.1,42.1,2210000.0,-0.002137767220902525
7527,1958-02-07,41.73,41.73,41.73,41.73,41.73,2220000.0,-0.008866522885214584
7528,1958-02-10,41.48,41.48,41.48,41.48,41.48,1900000.0,-0.006027000964320154
7529,1958-02-11,41.11,41.11,41.11,41.11,41.11,2110000.0,-0.0090002432498175
7530,1958-02-12,40.93,40.93,40.93,40.93,40.93,2030000.0,-0.0043977522599560155
7531,1958-02-13,40.94,40.94,40.94,40.94,40.94,1880000.0,0.0002442598925255987
7532,1958-02-14,41.33,41.33,41.33,41.33,41.33,2070000.0,0.00943624485845634
7533,1958-02-17,41.11,41.11,41.11,41.11,41.11,1700000.0,-0.005351495986377982
7534,1958-02-18,41.17,41.17,41.17,41.17,41.17,1680000.0,0.0014573718727229116
7535,1958-02-19,41.15,41.15,41.15,41.15,41.15,2070000.0,-0.0004860267314703069
7536,1958-02-20,40.91,40.91,40.91,40.91,40.91,2060000.0,-0.0058665362991934
7537,1958-02-21,40.88,40.88,40.88,40.88,40.88,1700000.0,-0.0007338551859098343
7538,1958-02-24,40.65,40.65,40.65,40.65,40.65,1570000.0,-0.005658056580565903
7539,1958-02-25,40.61,40.61,40.61,40.61,40.61,1920000.0,-0.0009849790691947586
7540,1958-02-26,40.92,40.92,40.92,40.92,40.92,1880000.0,0.007575757575757631
7541,1958-02-27,40.68,40.68,40.68,40.68,40.68,1670000.0,-0.005899705014749312
7542,1958-02-28,40.84,40.84,40.84,40.84,40.84,1580000.0,0.003917727717923695
7543,1958-03-03,41.13,41.13,41.13,41.13,41.13,1810000.0,0.007050814490639414
7544,1958-03-04,41.35,41.35,41.35,41.35,41.35,2010000.0,0.005320435308343382
7545,1958-03-05,41.47,41.47,41.47,41.47,41.47,2020000.0,0.0028936580660717977
7546,1958-03-06,42.0,42.0,42.0,42.0,42.0,2470000.0,0.012619047619047646
7547,1958-03-07,42.07,42.07,42.07,42.07,42.07,2130000.0,0.0016638935108153146
7548,1958-03-10,42.21,42.21,42.21,42.21,42.21,1980000.0,0.0033167495854063153
7549,1958-03-11,42.51,42.51,42.51,42.51,42.51,2640000.0,0.007057163020465706
7550,1958-03-12,42.41,42.41,42.41,42.41,42.41,2420000.0,-0.00235793444942234
